"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,17,9,3,2,3,0.529411764705882,0.176470588235294,0.117647058823529,0.176470588235294,157.654396573964,47.9862324322479,55.3472068207266,36.7241669655681,2000-01-01
1,10,5,1,1,3,0.5,0.1,0.1,0.3,191.063630904773,43.7776504498581,62.6553359770661,54.4900084088927,2000-01-08
2,15,8,2,2,3,0.533333333333333,0.133333333333333,0.133333333333333,0.2,203.487232647017,47.8297993865377,54.9477578524846,54.2502287586321,2000-01-15
3,16,10,2,4,0,0.625,0.125,0.25,0,202.381509436615,53.0951995693858,46.5637247666951,59.4496879366755,2000-01-22
4,9,3,0,3,3,0.333333333333333,0,0.333333333333333,0.333333333333333,191.933293470412,50.3125453543982,43.8346665216228,66.143881449413,2000-01-29
5,16,7,1,3,5,0.4375,0.0625,0.1875,0.3125,190.866540629287,45.4583981706185,59.4769302906291,61.3608027874322,2000-02-05
6,18,10,1,4,3,0.555555555555556,0.0555555555555556,0.222222222222222,0.166666666666667,188.290841832673,39.6689825311707,74.5904709042309,57.8308072005449,2000-02-12
7,15,8,2,3,2,0.533333333333333,0.133333333333333,0.2,0.133333333333333,178.787508394082,33.5397529746649,80.1099471498678,68.4430543127313,2000-02-19
8,22,14,2,4,2,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909,197.261014213234,30.8739726476001,81.0540871293586,80.2433513313865,2000-02-26
9,12,7,0,2,3,0.583333333333333,0,0.166666666666667,0.25,220.646693184529,34.2090573895312,87.899186367481,83.5851003538486,2000-03-04
10,8,5,0,2,1,0.625,0,0.25,0.125,263.299870919621,42.2698101448139,95.32921852902,78.0317466706379,2000-03-11
11,26,15,3,5,3,0.576923076923077,0.115384615384615,0.192307692307692,0.115384615384615,280.683347570144,39.1062074292405,97.4183888005877,78.4084703702248,2000-03-18
12,24,14,0,4,6,0.583333333333333,0,0.166666666666667,0.25,267.414154421189,29.7956056497768,86.2211357300782,76.6125856263186,2000-03-25
13,29,21,1,5,2,0.724137931034483,0.0344827586206897,0.172413793103448,0.0689655172413793,290.220253512538,35.9798216869747,94.3140285693427,75.5529310253032,2000-04-01
14,19,11,2,1,5,0.578947368421053,0.105263157894737,0.0526315789473684,0.263157894736842,347.983839549791,36.8963435397852,113.407699573183,97.744576972896,2000-04-08
15,39,25,1,5,8,0.641025641025641,0.0256410256410256,0.128205128205128,0.205128205128205,433.595211119021,33.911644603533,131.742210481643,107.695750994243,2000-04-15
16,33,19,0,5,9,0.575757575757576,0,0.151515151515152,0.272727272727273,493.695465117634,38.6271077740579,127.223486773687,117.047723714932,2000-04-22
17,33,16,0,10,7,0.484848484848485,0,0.303030303030303,0.212121212121212,562.349377266706,37.7753342855245,120.20038864195,154.979604838976,2000-04-29
18,39,25,1,6,7,0.641025641025641,0.0256410256410256,0.153846153846154,0.179487179487179,631.167399574794,32.6179920244241,133.748095128063,199.817793613902,2000-05-06
19,36,26,0,3,7,0.722222222222222,0,0.0833333333333333,0.194444444444444,643.418209304618,22.9630018566285,175.694512462961,239.147353357194,2000-05-13
20,45,25,2,8,10,0.555555555555556,0.0444444444444444,0.177777777777778,0.222222222222222,681.959019479353,16.256071725353,213.286127776356,257.025138619242,2000-05-20
21,56,29,0,12,15,0.517857142857143,0,0.214285714285714,0.267857142857143,751.963255784679,18.305054200089,204.131604493381,254.523616428108,2000-05-27
22,60,35,1,9,15,0.583333333333333,0.0166666666666667,0.15,0.25,806.098441132954,26.5353865595962,207.471795122872,263.104726105623,2000-06-03
23,54,24,2,14,14,0.444444444444444,0.037037037037037,0.259259259259259,0.259259259259259,848.763896782133,27.0439577571837,241.326204641432,317.130206681635,2000-06-10
24,69,37,2,15,15,0.536231884057971,0.0289855072463768,0.217391304347826,0.217391304347826,897.519198149841,21.637306249601,286.705185560749,384.147357969398,2000-06-17
