"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,10,4,0,1,5,0.4,0,0.1,0.5,98.8867677899271,10.5336819178212,46.4165083915607,133.160760737847,2000-01-01
1,21,7,1,2,11,0.333333333333333,0.0476190476190476,0.0952380952380952,0.523809523809524,124.296858362765,10.1950962531782,57.1673003738405,144.022121669654,2000-01-08
2,14,6,0,3,5,0.428571428571429,0,0.214285714285714,0.357142857142857,122.493737271634,7.29344798837542,55.3660062554749,142.935265829066,2000-01-15
3,12,4,0,2,6,0.333333333333333,0,0.166666666666667,0.5,125.204495817774,8.56481714185064,50.9403293584655,159.789972318378,2000-01-22
4,18,7,0,1,10,0.388888888888889,0,0.0555555555555556,0.555555555555556,136.721244310915,8.42268084024555,52.9198300516512,165.676407239067,2000-01-29
5,12,4,0,0,8,0.333333333333333,0,0,0.666666666666667,140.479613246604,5.91748302292685,54.914574337085,162.015556001786,2000-02-05
6,20,5,1,3,11,0.25,0.05,0.15,0.55,145.779453984792,3.47664134749542,49.4987362574681,181.947160643446,2000-02-12
7,13,5,0,1,7,0.384615384615385,0,0.0769230769230769,0.538461538461538,147.295000287558,1.87182757893063,39.5964834609141,215.814816346415,2000-02-19
8,18,6,0,1,11,0.333333333333333,0,0.0555555555555556,0.611111111111111,146.448473041559,3.13401191636378,35.7078516661429,232.132196900984,2000-02-26
9,22,7,3,0,12,0.318181818181818,0.136363636363636,0,0.545454545454545,142.872332398623,7.85725097463679,42.6742489437373,241.329584956374,2000-03-04
10,18,7,0,2,9,0.388888888888889,0,0.111111111111111,0.5,146.705109348395,9.63914490309197,44.1205912781952,248.117511760902,2000-03-11
11,26,8,0,2,16,0.307692307692308,0,0.0769230769230769,0.615384615384615,162.563409691737,22.4224940323835,35.3906907243375,288.000589428052,2000-03-18
12,27,10,2,2,13,0.37037037037037,0.0740740740740741,0.0740740740740741,0.481481481481481,185.373414583792,29.9291187287222,34.9322894112435,324.226199214275,2000-03-25
13,30,13,2,2,13,0.433333333333333,0.0666666666666667,0.0666666666666667,0.433333333333333,215.514058911139,23.5599788615066,39.9410793598201,351.733501629355,2000-04-01
14,22,5,1,2,14,0.227272727272727,0.0454545454545455,0.0909090909090909,0.636363636363636,258.917593395059,24.3289242652255,49.6520362962461,399.372666140194,2000-04-08
15,35,10,3,3,19,0.285714285714286,0.0857142857142857,0.0857142857142857,0.542857142857143,293.555083666993,40.8830883564947,61.0800241897317,431.303507800276,2000-04-15
16,29,6,0,1,22,0.206896551724138,0,0.0344827586206897,0.758620689655172,306.680759223418,47.8209471431025,63.6115318260929,455.534035928485,2000-04-22
17,34,15,0,3,16,0.441176470588235,0,0.0882352941176471,0.470588235294118,298.315893778768,49.4962755525414,68.6896826328775,486.827910105607,2000-04-29
18,55,8,6,4,37,0.145454545454545,0.109090909090909,0.0727272727272727,0.672727272727273,288.461489968263,51.6933083311676,71.3769629671684,547.577895776699,2000-05-06
19,55,18,1,5,31,0.327272727272727,0.0181818181818182,0.0909090909090909,0.563636363636364,321.370369659581,40.8594225063059,75.7248628906764,611.109889302565,2000-05-13
20,55,17,1,3,34,0.309090909090909,0.0181818181818182,0.0545454545454545,0.618181818181818,356.618767900328,51.9993936541021,84.1475566077017,733.472602661969,2000-05-20
21,75,20,4,7,44,0.266666666666667,0.0533333333333333,0.0933333333333333,0.586666666666667,402.823820145912,75.6199000189766,110.424047738818,907.332408952167,2000-05-27
22,85,20,9,5,51,0.235294117647059,0.105882352941176,0.0588235294117647,0.6,452.433061303635,75.253590139108,128.210463614793,1001.9833138485,2000-06-03
23,65,17,4,2,42,0.261538461538462,0.0615384615384615,0.0307692307692308,0.646153846153846,501.536945607794,87.285886877621,139.434402421755,1101.39225922187,2000-06-10
24,82,21,7,2,52,0.25609756097561,0.0853658536585366,0.024390243902439,0.634146341463415,567.40520455566,118.984310203677,150.93070683307,1257.19428647148,2000-06-17
