"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,9,7,0,0,2,0.777777777777778,0,0,0.222222222222222,147.633244657105,3.87400360420978,3.35177576722201,57.4331451956134,2000-01-01
1,6,5,0,0,1,0.833333333333333,0,0,0.166666666666667,179.142198062971,2.93706299859117,6.56059960701419,66.4215420280843,2000-01-08
2,5,3,0,1,1,0.6,0,0.2,0.2,191.087964172959,1.63457183051003,6.35022407380513,56.6088747819597,2000-01-15
3,12,10,0,1,1,0.833333333333333,0,0.0833333333333333,0.0833333333333333,179.996860830038,0.8515567312725,4.35259323760504,48.4993812067322,2000-01-22
4,7,6,0,0,1,0.857142857142857,0,0,0.142857142857143,159.700408330875,0.428024164767885,5.53795917029886,40.0344901602908,2000-01-29
5,5,2,0,1,2,0.4,0,0.2,0.4,157.269968956324,0.210821082748439,12.8792213533044,32.8676182543424,2000-02-05
6,6,5,0,0,1,0.833333333333333,0,0,0.166666666666667,163.739686620683,0.102619462516718,15.1248582479493,30.2996974258601,2000-02-12
7,5,4,0,1,0,0.8,0,0.2,0,155.799064203706,0.0496028244424383,15.873855783231,34.647317844011,2000-02-19
8,9,5,0,4,0,0.555555555555556,0,0.444444444444444,0,136.776276626888,0.0238761412958597,15.2794279730693,35.0672750161475,2000-02-26
9,5,4,0,1,0,0.8,0,0.2,0,131.586181205586,0.0114637476708063,17.9463592989075,28.6098102499962,2000-03-04
10,7,6,0,1,0,0.857142857142857,0,0.142857142857143,0,131.363547329494,0.00549575887996418,31.6826226008508,18.6630088576251,2000-03-11
11,9,5,0,1,3,0.555555555555556,0,0.111111111111111,0.333333333333333,140.579496502107,0.00263226162184001,50.2219237650234,10.6065358242464,2000-03-18
12,5,2,0,3,0,0.4,0,0.6,0,146.792366226816,0.00126005372495313,53.3230031241136,8.66570555443951,2000-03-25
13,11,8,0,2,1,0.727272727272727,0,0.181818181818182,0.0909090909090909,158.244244905192,0.000602980883087987,49.1022338021551,23.3665303491702,2000-04-01
14,12,7,0,1,4,0.583333333333333,0,0.0833333333333333,0.333333333333333,152.537822148044,0.000288489831981917,56.3571983992137,30.0108883243421,2000-04-08
15,13,7,1,5,0,0.538461538461538,0.0769230769230769,0.384615384615385,0,161.595493157927,0.00013800823640523,65.2929362110868,28.9242510357404,2000-04-15
16,12,6,0,4,2,0.5,0,0.333333333333333,0.166666666666667,188.409342122811,0.705723193291134,63.379749926377,40.9062835464884,2000-04-22
17,18,9,0,7,2,0.5,0,0.388888888888889,0.111111111111111,207.315736837746,6.69554388990968,74.6566527232142,54.4387973913724,2000-04-29
18,23,12,0,8,3,0.521739130434783,0,0.347826086956522,0.130434782608696,218.087341413581,10.0114149444271,98.8281843167414,54.802176844976,2000-05-06
19,19,8,1,9,1,0.421052631578947,0.0526315789473684,0.473684210526316,0.0526315789473684,246.012946739379,7.89098816583552,126.886515117836,57.9926704857747,2000-05-13
20,30,13,1,12,4,0.433333333333333,0.0333333333333333,0.4,0.133333333333333,297.527891837586,5.18435518848988,175.354164071601,73.2895923718957,2000-05-20
21,29,7,1,17,4,0.241379310344828,0.0344827586206897,0.586206896551724,0.137931034482759,313.390261582194,8.98052462629997,239.671704828459,75.3126809277764,2000-05-27
22,36,12,4,14,6,0.333333333333333,0.111111111111111,0.388888888888889,0.166666666666667,324.015242491793,18.4566266662465,305.060130607681,72.0474337853931,2000-06-03
23,36,15,2,17,2,0.416666666666667,0.0555555555555556,0.472222222222222,0.0555555555555556,331.193558606342,28.363676393026,367.842927637779,90.4161711297153,2000-06-10
24,44,12,4,24,4,0.272727272727273,0.0909090909090909,0.545454545454545,0.0909090909090909,350.679330235195,48.1892380681066,424.773236979815,117.867240090868,2000-06-17
25,52,21,1,26,4,0.403846153846154,0.0192307692307692,0.5,0.0769230769230769,375.816621512016,64.7408832873966,474.126536870366,129.724860811025,2000-06-24
26,44,12,4,23,5,0.272727272727273,0.0909090909090909,0.522727272727273,0.113636363636364,394.923305292882,79.9876723793566,531.794322210329,120.289537697871,2000-07-01
27,45,11,4,23,7,0.244444444444444,0.0888888888888889,0.511111111111111,0.155555555555556,427.630802006209,78.8888805275905,611.438878499984,121.813730790278,2000-07-08
28,43,14,1,23,5,0.325581395348837,0.0232558139534884,0.534883720930233,0.116279069767442,453.413324892682,75.3964430484317,660.37906031472,125.210570091909,2000-07-15
29,65,15,8,33,9,0.230769230769231,0.123076923076923,0.507692307692308,0.138461538461538,422.111703399438,82.6025347317168,666.266566816399,142.510261802868,2000-07-22
30,46,18,3,23,2,0.391304347826087,0.0652173913043478,0.5,0.0434782608695652,391.180407201913,86.775859651843,655.40922885159,158.137574830404,2000-07-29
31,53,13,4,30,6,0.245283018867925,0.0754716981132075,0.566037735849057,0.113207547169811,375.852704827626,99.3530991554758,685.439266320097,163.684071177737,2000-08-05
32,60,17,2,31,10,0.283333333333333,0.0333333333333333,0.516666666666667,0.166666666666667,390.552410837153,110.040247222479,687.053480715733,152.998502145193,2000-08-12
33,57,21,2,32,2,0.368421052631579,0.0350877192982456,0.56140350877193,0.0350877192982456,372.945198726253,103.6213398377,676.948599646613,135.629742373286,2000-08-19
34,57,20,3,30,4,0.350877192982456,0.0526315789473684,0.526315789473684,0.0701754385964912,365.272017141537,90.6891501210731,676.677572430937,141.68161075016,2000-08-26
35,37,10,1,20,6,0.27027027027027,0.027027027027027,0.540540540540541,0.162162162162162,386.138427610126,71.4583059372379,672.252824651967,142.873481727814,2000-09-02
36,53,10,6,29,8,0.188679245283019,0.113207547169811,0.547169811320755,0.150943396226415,404.164556038242,63.5479079297105,666.746893593359,124.687520126246,2000-09-09
37,59,17,1,37,4,0.288135593220339,0.0169491525423729,0.627118644067797,0.0677966101694915,364.936936142625,54.5938309369282,612.398054717865,112.482492338868,2000-09-16
38,44,15,2,23,4,0.340909090909091,0.0454545454545455,0.522727272727273,0.0909090909090909,305.626401941987,58.9030523553217,563.774803729218,110.621230279519,2000-09-23
39,39,10,2,25,2,0.256410256410256,0.0512820512820513,0.641025641025641,0.0512820512820513,272.031485393979,59.3483227030084,562.219784331229,106.721537233278,2000-09-30
40,46,8,1,33,4,0.173913043478261,0.0217391304347826,0.717391304347826,0.0869565217391304,264.527595266982,49.5493264000237,545.96743525824,92.6070934401426,2000-10-07
41,33,8,2,21,2,0.242424242424242,0.0606060606060606,0.636363636363636,0.0606060606060606,248.930344406937,41.9262784842065,512.598971353361,77.2152379665058,2000-10-14
42,41,7,4,26,4,0.170731707317073,0.0975609756097561,0.634146341463415,0.0975609756097561,214.14596109209,34.6806204343683,492.429055464966,66.7759036610949,2000-10-21
43,29,7,0,18,4,0.241379310344828,0,0.620689655172414,0.137931034482759,181.851733686042,30.0137415132762,474.866326317726,59.7801746550664,2000-10-28
44,25,3,2,18,2,0.12,0.08,0.72,0.08,157.740047021519,30.8529825749415,438.529559511007,57.74059935072,2000-11-04
