"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,15,1,13,0,1,0.0666666666666667,0.866666666666667,0,0.0666666666666667,83.0755042014711,216.720498276847,3.10616631254427,27.3506765829532,2000-01-01
1,21,11,10,0,0,0.523809523809524,0.476190476190476,0,0,102.102596966887,272.711466048702,2.11749463612221,33.7323677588944,2000-01-08
2,29,8,18,1,2,0.275862068965517,0.620689655172414,0.0344827586206897,0.0689655172413793,100.13871857387,295.182132873241,1.10886362191393,39.6996107441518,2000-01-15
3,20,4,14,1,1,0.2,0.7,0.05,0.05,116.870831666625,302.957962782428,0.592950332477428,34.3059150186391,2000-01-22
4,28,5,20,0,3,0.178571428571429,0.714285714285714,0,0.107142857142857,149.229446916656,314.936084302651,3.01395976864704,28.9000680125984,2000-01-29
5,33,7,21,2,3,0.212121212121212,0.636363636363636,0.0606060606060606,0.0909090909090909,156.102276246622,338.11130327107,10.725556908835,33.3575882808048,2000-02-05
6,22,5,16,0,1,0.227272727272727,0.727272727272727,0,0.0454545454545455,144.967469339867,373.99463421227,13.7925216662814,43.1240403227428,2000-02-12
7,35,14,21,0,0,0.4,0.6,0,0,145.790802125214,432.376879434963,16.8231162873374,54.0740248271612,2000-02-19
8,32,9,22,0,1,0.28125,0.6875,0,0.03125,159.00191403592,489.519242362878,21.4077817290085,52.9785686218059,2000-02-26
9,27,6,21,0,0,0.222222222222222,0.777777777777778,0,0,203.412206380195,523.717402410768,17.6121109434029,42.6884372010921,2000-03-04
10,37,10,26,0,1,0.27027027027027,0.702702702702703,0,0.027027027027027,249.476778818325,563.193593710368,11.1573952575892,32.6606110474953,2000-03-11
11,46,11,34,1,0,0.239130434782609,0.739130434782609,0.0217391304347826,0,261.255402386224,616.38748904841,6.21090939525746,24.8216907827774,2000-03-18
12,53,17,33,1,2,0.320754716981132,0.622641509433962,0.0188679245283019,0.0377358490566038,256.63067643545,676.156267790659,4.33370648741327,20.8060303057188,2000-03-25
13,49,15,34,0,0,0.306122448979592,0.693877551020408,0,0,272.428715996263,788.066220328438,8.75369188120722,17.9642774126087,2000-04-01
14,58,21,36,1,0,0.362068965517241,0.620689655172414,0.0172413793103448,0,342.238301261933,904.559822409616,14.3666090971386,18.2547307737691,2000-04-08
15,60,13,46,0,1,0.216666666666667,0.766666666666667,0,0.0166666666666667,429.298667558154,1004.08432037807,16.6274756040013,24.6969898250035,2000-04-15
16,59,15,43,1,0,0.254237288135593,0.728813559322034,0.0169491525423729,0,496.474668140737,1080.52751762913,16.1778179823786,21.8818755066921,2000-04-22
17,84,26,57,1,0,0.30952380952381,0.678571428571429,0.0119047619047619,0,541.671265690557,1203.41021837439,17.5938190591061,19.5153918436365,2000-04-29
18,68,21,43,1,3,0.308823529411765,0.632352941176471,0.0147058823529412,0.0441176470588235,554.706996320179,1328.60147030976,20.7775616583037,17.5540743825515,2000-05-06
19,85,25,59,1,0,0.294117647058824,0.694117647058824,0.0117647058823529,0,597.09772640791,1476.48840865592,25.2865184566299,13.2973960212744,2000-05-13
20,103,33,68,2,0,0.320388349514563,0.660194174757282,0.0194174757281553,0,651.976518598102,1593.61377805531,25.9827704334854,22.7355230565424,2000-05-20
21,100,33,64,2,1,0.33,0.64,0.02,0.01,711.002835617839,1661.7627068479,32.2986798190051,32.3404643192289,2000-05-27
22,114,38,76,0,0,0.333333333333333,0.666666666666667,0,0,800.185414010812,1801.84307857635,42.5517725449226,26.502411382352,2000-06-03
23,136,30,101,4,1,0.220588235294118,0.742647058823529,0.0294117647058824,0.00735294117647059,923.810728338546,1974.91053022278,46.6038512476179,20.7617985001532,2000-06-10
24,134,47,85,2,0,0.350746268656716,0.634328358208955,0.0149253731343284,0,1028.73590462993,2135.40644786501,42.0274802276462,18.1261890529392,2000-06-17
25,137,36,95,3,3,0.262773722627737,0.693430656934307,0.0218978102189781,0.0218978102189781,1079.294665738,2375.79357157101,45.4178356054777,15.9028519929817,2000-06-24
26,168,55,110,1,2,0.327380952380952,0.654761904761905,0.00595238095238095,0.0119047619047619,1115.90479043037,2546.59536156467,63.0851014183983,18.1618598900582,2000-07-01
27,143,40,98,2,3,0.27972027972028,0.685314685314685,0.013986013986014,0.020979020979021,1128.06734995698,2629.17535196444,71.4277117825547,30.6357662556262,2000-07-08
28,178,58,117,1,2,0.325842696629214,0.657303370786517,0.00561797752808989,0.0112359550561798,1200.00498158465,2725.72188652489,67.6068390022216,42.6258743069722,2000-07-15
29,158,47,103,4,4,0.29746835443038,0.651898734177215,0.0253164556962025,0.0253164556962025,1238.76174396435,2765.63152337686,59.9118131379531,54.056190172165,2000-07-22
30,150,44,102,2,2,0.293333333333333,0.68,0.0133333333333333,0.0133333333333333,1247.89677490091,2809.15408249649,51.2937571438123,59.6325779383108,2000-07-29
31,161,48,108,2,3,0.298136645962733,0.670807453416149,0.0124223602484472,0.0186335403726708,1269.25364576443,2786.22799524175,50.7143741866155,64.0904545321135,2000-08-05
32,167,47,117,0,3,0.281437125748503,0.70059880239521,0,0.0179640718562874,1228.38537328103,2704.30308283283,60.0417629932207,66.265282762922,2000-08-12
33,145,42,100,1,2,0.289655172413793,0.689655172413793,0.00689655172413793,0.0137931034482759,1169.60422286078,2624.22022159214,57.9416596750346,68.3898036591384,2000-08-19
