"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,19,9,0,0,10,0.473684210526316,0,0,0.526315789473684,294.455465441175,6.35394959945219,83.5384114344403,135.208712793093,2000-01-01
1,17,10,0,0,7,0.588235294117647,0,0,0.411764705882353,319.973425731038,8.08455147286008,84.4690672371236,149.531206595105,2000-01-08
2,12,7,0,2,3,0.583333333333333,0,0.166666666666667,0.25,293.13365704233,6.1358550719072,59.3397103484667,149.122868039131,2000-01-15
3,14,3,0,2,9,0.214285714285714,0,0.142857142857143,0.642857142857143,265.315726614566,3.74603264709145,36.6826870303162,162.343638454697,2000-01-22
4,20,10,0,2,8,0.5,0,0.1,0.4,235.229015134004,2.04976890459264,29.3803060573353,156.089337686624,2000-01-29
5,13,6,0,1,6,0.461538461538462,0,0.0769230769230769,0.461538461538462,200.315055801062,1.05865019110751,36.1609131475389,152.84672097387,2000-02-05
6,13,9,0,1,3,0.692307692307692,0,0.0769230769230769,0.230769230769231,189.555598958085,0.529567636008827,38.7972178676536,172.984116216976,2000-02-12
7,19,13,0,2,4,0.684210526315789,0,0.105263157894737,0.210526315789474,192.90878448065,0.260104472017383,36.8126678617585,190.668805031142,2000-02-19
8,14,6,0,1,7,0.428571428571429,0,0.0714285714285714,0.5,194.730040343678,0.126394139159924,37.2348932230357,171.09004989215,2000-02-26
9,14,4,0,5,5,0.285714285714286,0,0.357142857142857,0.357142857142857,234.640607151611,0.061030911797969,41.5352776686709,142.731826639673,2000-03-04
10,11,5,0,1,5,0.454545454545455,0,0.0909090909090909,0.454545454545455,260.179403567982,0.029357872432679,45.0152263971993,146.028494850158,2000-03-11
11,17,6,0,3,8,0.352941176470588,0,0.176470588235294,0.470588235294118,246.973041141696,0.0140899391554032,58.6700877192616,164.711550483907,2000-03-18
12,16,7,0,3,6,0.4375,0,0.1875,0.375,213.495307956964,0.00675301896090833,71.7555251988252,169.056437375907,2000-03-25
13,14,6,0,3,5,0.428571428571429,0,0.214285714285714,0.357142857142857,198.04913474912,0.00323391441783281,80.0558871993841,180.852501125054,2000-04-01
14,21,6,0,8,7,0.285714285714286,0,0.380952380952381,0.333333333333333,191.385081120114,0.00154790364718567,84.7097450703677,195.813228599968,2000-04-08
15,26,8,0,4,14,0.307692307692308,0,0.153846153846154,0.538461538461538,203.049438452535,0.000740679670174564,94.6460106246731,204.397003051417,2000-04-15
16,16,7,0,3,6,0.4375,0,0.1875,0.375,207.886549519741,0.00035435608718371,117.469000536429,211.905959575596,2000-04-22
17,22,6,0,6,10,0.272727272727273,0,0.272727272727273,0.454545454545455,212.131075437738,0.000169513191239095,144.493492814844,249.193098526475,2000-04-29
18,22,6,0,8,8,0.272727272727273,0,0.363636363636364,0.363636363636364,237.689204709703,8.10848805736908e-05,147.157933303066,293.323344423772,2000-05-06
19,27,6,0,7,14,0.222222222222222,0,0.259259259259259,0.518518518518518,241.181835481189,3.87846764402359e-05,148.041037039192,302.307202101675,2000-05-13
20,25,7,0,7,11,0.28,0,0.28,0.44,235.402778880458,1.85511566685679e-05,186.745167343529,312.445176588991,2000-05-20
21,25,9,0,5,11,0.36,0,0.2,0.44,228.914207512907,8.87311801888072e-06,216.963375599664,343.089861473666,2000-05-27
22,27,6,0,11,10,0.222222222222222,0,0.407407407407407,0.37037037037037,229.671745974525,4.24402836531421e-06,231.468075304049,360.85949260173,2000-06-03
23,22,7,0,6,9,0.318181818181818,0,0.272727272727273,0.409090909090909,240.152401165248,2.0299176070392e-06,234.691249132277,370.80569769276,2000-06-10
24,27,7,1,11,8,0.259259259259259,0.037037037037037,0.407407407407407,0.296296296296296,227.078536771848,9.70906592213564e-07,245.042551273731,366.515431668332,2000-06-17
25,27,8,0,10,9,0.296296296296296,0,0.37037037037037,0.333333333333333,218.000298277588,0.0450252555673318,250.27574717971,342.978603847344,2000-06-24
26,32,8,0,10,14,0.25,0,0.3125,0.4375,223.450006274184,3.22350595992046,258.323242804964,304.723554179422,2000-07-01
27,26,5,0,15,6,0.192307692307692,0,0.576923076923077,0.230769230769231,229.382942307608,8.29124003288661,263.70919245573,282.6026364313,2000-07-08
28,33,12,0,13,8,0.363636363636364,0,0.393939393939394,0.242424242424242,229.915915655675,7.86875050334989,291.857007072162,296.962894782996,2000-07-15
29,24,7,0,7,10,0.291666666666667,0,0.291666666666667,0.416666666666667,217.860667900963,5.1625301771442,323.97773454864,305.34086829101,2000-07-22
30,45,10,0,17,18,0.222222222222222,0,0.377777777777778,0.4,213.838896311197,2.89193976988745,339.983771551923,274.048703924847,2000-07-29
31,32,9,0,14,9,0.28125,0,0.4375,0.28125,219.793881082217,1.50253247410856,316.553906228527,250.135105278543,2000-08-05
32,29,5,0,17,7,0.172413793103448,0,0.586206896551724,0.241379310344828,214.142012759929,0.751332770777088,306.18985585302,266.323524669554,2000-08-12
33,27,6,0,11,10,0.222222222222222,0,0.407407407407407,0.37037037037037,217.867518617071,0.36817675710543,325.832704603399,288.24723131699,2000-08-19
34,26,10,0,12,4,0.384615384615385,0,0.461538461538462,0.153846153846154,202.403984789736,0.178459211635362,323.089628806808,260.423035433649,2000-08-26
35,26,3,0,13,10,0.115384615384615,0,0.5,0.384615384615385,175.52257490489,0.085986900022432,314.59043487711,224.458086808314,2000-09-02
36,23,4,0,9,10,0.173913043478261,0,0.391304347826087,0.434782608695652,159.346979370752,0.0412953994523002,291.813389700074,195.503988850898,2000-09-09
37,19,7,0,8,4,0.368421052631579,0,0.421052631578947,0.210526315789474,145.211192604085,0.0197963265924545,271.824442540533,178.127281643074,2000-09-16
38,14,2,0,6,6,0.142857142857143,0,0.428571428571429,0.428571428571429,120.299578931673,0.00948051470981765,253.529368855654,174.611600090299,2000-09-23
39,16,1,0,9,6,0.0625,0,0.5625,0.375,106.333981340217,0.00453771610081152,216.237730680934,159.738262313178,2000-09-30
40,17,4,0,9,4,0.235294117647059,0,0.529411764705882,0.235294117647059,96.076432056682,0.00217124112393275,179.189101809468,137.395578709609,2000-10-07
41,10,3,0,6,1,0.3,0,0.6,0.1,74.7811022224333,0.00103873212869406,158.711998731927,114.448639771974,2000-10-14
42,10,0,0,8,2,0,0,0.8,0.2,60.5000106337069,0.000496886126292009,144.698403608343,99.9441941654099,2000-10-21
43,10,3,0,4,3,0.3,0,0.4,0.3,55.1317951889608,0.000237676569735157,135.089812263892,81.5547314095706,2000-10-28
44,13,2,0,8,3,0.153846153846154,0,0.615384615384615,0.230769230769231,45.3984512180655,0.000113684790134485,130.983866040628,61.9831542268475,2000-11-04
45,10,2,0,6,2,0.2,0,0.6,0.2,37.7565741592805,5.43764240173692e-05,120.553479456586,53.8681811169213,2000-11-11
46,8,0,0,6,2,0,0,0.75,0.25,34.6754098569864,2.60084508077718e-05,111.330133579946,50.7557871000381,2000-11-18
47,5,1,0,3,1,0.2,0,0.6,0.2,34.9247823448448,1.2439867421849e-05,112.064481228352,44.9514012852285,2000-11-25
48,5,0,0,2,3,0,0,0.4,0.6,29.7652706080198,5.94998014257504e-06,113.781204484655,38.9996846871939,2000-12-02
49,6,1,0,3,2,0.166666666666667,0,0.5,0.333333333333333,21.4063826407922,2.84586566595394e-06,104.939576575863,33.319725021119,2000-12-09
50,5,0,0,4,1,0,0,0.8,0.2,16.6667666047872,1.36117119988832e-06,84.4737478334009,33.0580323727939,2000-12-16
51,7,0,0,5,2,0,0,0.714285714285714,0.285714285714286,14.8477759012778,6.51044679493506e-07,64.7191397802574,39.3957780870771,2000-12-23
52,7,1,0,5,1,0.142857142857143,0,0.714285714285714,0.142857142857143,12.1986717229485,3.11392858902068e-07,60.1841740030002,36.8343460900563,2000-12-30
53,4,0,0,1,3,0,0,0.25,0.75,9.18042814979443,1.48938299220776e-07,73.4820673163382,34.5037564963081,2001-01-06
54,7,0,1,4,2,0,0.142857142857143,0.571428571428571,0.285714285714286,9.76971488197404,7.12367443114031e-08,87.919913276056,34.9783957323457,2001-01-13
55,4,0,0,2,2,0,0,0.5,0.5,8.53807141621648,0.245473916449674,86.0717039399111,42.5053451250975,2001-01-20
56,7,1,0,3,3,0.142857142857143,0,0.428571428571429,0.428571428571429,5.67531014811482,3.88589246465712,80.3054351469624,46.9188585623988,2001-01-27
57,10,0,0,7,3,0,0,0.7,0.3,4.60250807028672,6.90483770747452,72.7490122245574,48.5818487330087,2001-02-03
58,7,0,0,2,5,0,0,0.285714285714286,0.714285714285714,7.86986548781432,5.85865526332255,74.7392252251353,57.2741278321099,2001-02-10
59,7,0,0,4,3,0,0,0.571428571428571,0.428571428571429,8.12606761387051,3.72188582605598,93.7793197495643,67.0482560706,2001-02-17
60,8,0,0,5,3,0,0,0.625,0.375,5.70131532730168,2.0724085808676,107.511520133163,78.7204331594261,2001-02-24
61,7,0,0,6,1,0,0,0.857142857142857,0.142857142857143,3.33459697711288,1.07943393060268,105.505507055093,88.4110367977122,2001-03-03
62,9,0,0,5,4,0,0,0.555555555555556,0.444444444444444,1.78209835662984,0.542284271898776,116.077168169955,93.149553730267,2001-03-10
63,9,1,0,5,3,0.111111111111111,0,0.555555555555556,0.333333333333333,0.907931807320126,0.266936516313735,132.854935873597,88.2939008197183,2001-03-17
64,17,0,0,12,5,0,0,0.705882352941177,0.294117647058824,0.497455995825676,0.129858798578743,145.974428495865,92.3686821426508,2001-03-24
65,11,0,0,6,5,0,0,0.545454545454545,0.454545454545455,3.63738521297023,0.0627382121074135,165.947080291385,98.1267189402331,2001-03-31
66,15,0,0,10,5,0,0,0.666666666666667,0.333333333333333,9.06227232597804,0.0301867795413979,217.727484940737,103.528459758975,2001-04-07
67,14,0,0,11,3,0,0,0.785714285714286,0.214285714285714,8.72311826166821,0.0144892827569914,244.646216232527,131.361665667108,2001-04-14
68,16,1,1,7,7,0.0625,0.0625,0.4375,0.4375,5.81644489934268,0.0069446518716615,256.374056018159,149.334763662966,2001-04-21
69,22,0,0,15,7,0,0,0.681818181818182,0.318181818181818,4.00480526286522,0.0124675317909857,286.573503656419,149.435409794507,2001-04-28
70,17,1,0,11,5,0.0588235294117647,0,0.647058823529412,0.294117647058824,8.38598477455941,2.68166067835554,310.535958691025,156.772538596461,2001-05-05
71,29,0,0,21,8,0,0,0.724137931034483,0.275862068965517,12.6647779121979,8.95701248106686,336.607758084538,184.629098035962,2001-05-12
72,26,0,1,19,6,0,0.0384615384615385,0.730769230769231,0.230769230769231,16.5576685394557,9.3884005341901,370.393868224102,205.139300442513,2001-05-19
73,19,0,0,10,9,0,0,0.526315789473684,0.473684210526316,14.5962026042158,6.60095319954148,435.391796806896,215.211529987346,2001-05-26
74,30,0,1,19,10,0,0.0333333333333333,0.633333333333333,0.333333333333333,9.55241303762675,8.2304634914413,531.171921326837,224.817687803086,2001-06-02
75,29,0,1,19,9,0,0.0344827586206897,0.655172413793103,0.310344827586207,5.38060716148702,11.4125777321757,537.619337021725,235.632211625212,2001-06-09
76,39,0,0,29,10,0,0,0.743589743589744,0.256410256410256,2.8101909045476,13.6100255998873,524.647152345209,262.329443502196,2001-06-16
77,38,0,0,25,13,0,0,0.657894736842105,0.342105263157895,1.41065542084435,21.9040794089394,566.89479756736,280.878956248235,2001-06-23
78,33,0,1,20,12,0,0.0303030303030303,0.606060606060606,0.363636363636364,0.693082701404995,20.7373419802454,626.306201922393,284.27857138897,2001-06-30
79,53,0,0,32,21,0,0,0.60377358490566,0.39622641509434,0.33651727841063,13.8745975739919,687.744643246359,314.262531940097,2001-07-07
80,50,0,0,31,19,0,0,0.62,0.38,0.162316592646589,10.8590090384075,706.258953675714,340.635012255207,2001-07-14
81,43,0,1,30,12,0,0.0232558139534884,0.697674418604651,0.27906976744186,0.0780031301360088,11.8637056652865,712.636635342928,388.000000012356,2001-07-21
82,32,0,0,20,12,0,0,0.625,0.375,0.0374075313287543,9.945249714459,752.200847757175,438.564088756439,2001-07-28
83,55,0,1,35,19,0,0.0181818181818182,0.636363636363636,0.345454545454545,0.017918412296155,10.8124643255594,775.932604645943,434.690851330974,2001-08-04
84,49,0,0,35,14,0,0,0.714285714285714,0.285714285714286,0.00857740869917079,11.3348951062424,737.361375488886,390.582012215855,2001-08-11
85,46,0,0,24,22,0,0,0.521739130434783,0.478260869565217,0.00410443982499532,12.4886612331369,700.100619522408,367.985578891897,2001-08-18
86,40,0,0,29,11,0,0,0.725,0.275,0.00196364502304784,10.8643279765976,718.477529638973,375.645092554155,2001-08-25
87,46,0,0,32,14,0,0,0.695652173913043,0.304347826086957,0.000939339561287218,7.11456686495305,701.471878839148,390.634427871831,2001-09-01
88,43,0,1,27,15,0,0.0232558139534884,0.627906976744186,0.348837209302326,0.000449318943898239,4.00061442444297,661.99054264015,375.952510262785,2001-09-08
89,44,0,0,31,13,0,0,0.704545454545455,0.295454545454545,0.000214917386206359,2.28385219926909,634.964317335992,330.836453301325,2001-09-15
90,35,0,0,26,9,0,0,0.742857142857143,0.257142857142857,0.000102796864660893,4.12385519544188,594.254557325398,299.580404134631,2001-09-22
91,42,0,0,31,11,0,0,0.738095238095238,0.261904761904762,4.91681035038683e-05,5.81434070534915,564.079701967832,275.581918011444,2001-09-29
92,30,0,1,20,9,0,0.0333333333333333,0.666666666666667,0.3,2.35171348624185e-05,4.6110854674756,544.1823813608,245.181725798557,2001-10-06
93,28,0,0,22,6,0,0,0.785714285714286,0.214285714285714,1.12482222749762e-05,2.82626146694494,515.544363699438,214.072071353511,2001-10-13
94,28,0,0,21,7,0,0,0.75,0.25,5.38000332628191e-06,2.82231248810004,474.41493586894,192.636246423422,2001-10-20
95,26,0,0,24,2,0,0,0.923076923076923,0.0769230769230769,2.57324260378871e-06,5.07423817754935,438.77568741751,166.497206110413,2001-10-27
96,26,0,0,18,8,0,0,0.692307692307692,0.307692307692308,1.23077497809328e-06,4.87369421463609,406.648659583003,144.416681240155,2001-11-03
97,27,0,0,22,5,0,0,0.814814814814815,0.185185185185185,5.88676139350394e-07,3.26940609332956,386.937032686769,116.877410764003,2001-11-10
98,22,0,0,17,5,0,0,0.772727272727273,0.227272727272727,2.81562051685596e-07,1.86306647656577,368.480466704229,100.572600839631,2001-11-17
99,20,0,0,15,5,0,0,0.75,0.25,1.34670278786027e-07,0.980456316236209,348.875725492077,99.3100852219153,2001-11-24
100,14,0,0,11,3,0,0,0.785714285714286,0.214285714285714,6.44123831961736e-08,0.494982866437737,347.538455368852,95.4173949728555,2001-12-01
101,16,0,0,16,0,0,0,1,0,3.08082450119458e-08,0.244274029080443,332.59656640743,91.5998318217168,2001-12-08
102,20,0,0,15,5,0,0,0.75,0.25,1.4735488602697e-08,0.119008927320466,303.872548877384,87.2195923248157,2001-12-15
103,17,0,0,15,2,0,0,0.882352941176471,0.117647058823529,7.04793866841048e-09,0.0575504111640975,285.454477710509,71.5185529230568,2001-12-22
104,16,0,0,13,3,0,0,0.8125,0.1875,3.37100725986423e-09,0.0277085440080046,285.097025977235,63.0404854817253,2001-12-29
105,11,0,0,9,2,0,0,0.818181818181818,0.181818181818182,1.61234233486865e-09,0.0133059118316125,303.509043986931,59.4869616966003,2002-01-05
106,14,0,0,12,2,0,0,0.857142857142857,0.142857142857143,7.71178344172946e-10,0.00637960628807669,303.1190885591,57.7011379393393,2002-01-12
107,11,1,0,10,0,0.0909090909090909,0,0.909090909090909,0,3.68852212433657e-10,0.00305584359794525,285.766316625986,56.9071349565812,2002-01-19
108,16,0,0,13,3,0,0,0.8125,0.1875,1.28660529944775,0.00146291238386609,275.385994739052,57.8730339685412,2002-01-26
109,13,1,0,12,0,0.0769230769230769,0,0.923076923076923,0,5.84612321683888,0.000700089084391712,275.047195533017,47.0216114996587,2002-02-02
110,19,1,0,13,5,0.0526315789473684,0,0.684210526315789,0.263157894736842,8.30079805662489,0.000334961962217756,278.764969998848,40.1750911877408,2002-02-09
111,18,0,0,17,1,0,0,0.944444444444444,0.0555555555555556,12.319000772489,0.000160243734903583,299.835276419185,42.4826207225221,2002-02-16
112,17,0,0,16,1,0,0,0.941176470588235,0.0588235294117647,16.4927539111743,7.66535171669579e-05,330.697469919083,54.5958483866758,2002-02-23
113,23,1,0,22,0,0.0434782608695652,0,0.956521739130435,0,15.007825436455,3.6665876002351e-05,373.732758354254,63.0799589534642,2002-03-02
114,30,0,0,28,2,0,0,0.933333333333333,0.0666666666666667,11.1322051501857,1.75379664359369e-05,421.866209703144,56.7496817657938,2002-03-09
115,30,2,0,26,2,0.0666666666666667,0,0.866666666666667,0.0666666666666667,12.4584278487932,8.38858335775506e-06,481.644968749051,41.2314610478489,2002-03-16
