"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,19,4,1,13,1,0.210526315789474,0.0526315789473684,0.684210526315789,0.0526315789473684,101.498766922328,17.9740633436089,354.729700169945,16.609433239733,2000-01-01
1,24,6,0,18,0,0.25,0,0.75,0,125.755173423576,24.1743591938317,408.282473539498,17.2870646981606,2000-01-08
2,28,9,3,16,0,0.321428571428571,0.107142857142857,0.571428571428571,0,124.421152256208,25.2120028269606,396.696408499874,19.5701875935507,2000-01-15
3,22,6,2,14,0,0.272727272727273,0.0909090909090909,0.636363636363636,0,119.560265000764,21.007338257688,384.335701541605,18.8320091444781,2000-01-22
4,26,6,1,18,1,0.230769230769231,0.0384615384615385,0.692307692307692,0.0384615384615385,140.544248302718,23.9689315300447,388.292529924603,13.2755514306492,2000-01-29
5,29,11,1,17,0,0.379310344827586,0.0344827586206897,0.586206896551724,0,159.586423724979,33.979075725283,399.397094862655,8.35459576958085,2000-02-05
6,20,4,1,15,0,0.2,0.05,0.75,0,167.259052465365,40.1664719265183,410.632890294756,9.22597624781325,2000-02-12
7,32,5,1,26,0,0.15625,0.03125,0.8125,0,185.603808005312,38.1773831764132,429.098913698702,9.7581986707591,2000-02-19
8,28,8,1,19,0,0.285714285714286,0.0357142857142857,0.678571428571429,0,202.977251234458,35.1612745496017,463.022042067305,7.15090399690309,2000-02-26
9,30,8,1,21,0,0.266666666666667,0.0333333333333333,0.7,0,195.535499988218,35.995311091286,520.987063282555,4.28541620445385,2000-03-04
10,35,10,1,24,0,0.285714285714286,0.0285714285714286,0.685714285714286,0,194.204181411165,33.9694597312735,576.590834665581,2.32030605591581,2000-03-11
11,40,8,2,30,0,0.2,0.05,0.75,0,205.376771473212,30.0012111848924,604.385317887426,1.19064144988499,2000-03-18
12,44,13,3,28,0,0.295454545454545,0.0681818181818182,0.636363636363636,0,235.624295012382,32.7023411943228,656.661850056938,0.593105116611778,2000-03-25
13,36,7,3,26,0,0.194444444444444,0.0833333333333333,0.722222222222222,0,273.138990224028,36.8969990659107,725.68359419634,0.290500705877461,2000-04-01
14,43,7,6,30,0,0.162790697674419,0.13953488372093,0.697674418604651,0,308.200675359143,52.7962745314665,818.470242220457,0.140899554294018,2000-04-08
15,47,12,2,33,0,0.25531914893617,0.0425531914893617,0.702127659574468,0,327.153603011366,79.5207093025407,892.745542072962,0.0679484714979096,2000-04-15
16,72,15,7,50,0,0.208333333333333,0.0972222222222222,0.694444444444444,0,301.774239315741,102.229596067427,948.422209941089,0.0326573948298309,2000-04-22
17,68,18,2,48,0,0.264705882352941,0.0294117647058824,0.705882352941177,0,304.946719125722,120.317759707018,1021.68104068244,0.0156645048208882,2000-04-29
18,67,18,5,44,0,0.26865671641791,0.0746268656716418,0.656716417910448,0,374.957958241412,141.887406038257,1185.67365160926,0.00750481799351873,2000-05-06
19,66,18,2,45,1,0.272727272727273,0.0303030303030303,0.681818181818182,0.0151515151515152,442.051342899934,147.477898613612,1336.59515522533,0.00359304044977106,2000-05-13
20,89,22,2,65,0,0.247191011235955,0.0224719101123595,0.730337078651685,0,513.003742673564,140.085749708058,1471.54257083267,0.363038343986359,2000-05-20
21,89,28,1,59,1,0.314606741573034,0.0112359550561798,0.662921348314607,0.0112359550561798,572.387793445272,128.098083319274,1555.09055782947,5.62442466593546,2000-05-27
22,100,26,2,72,0,0.26,0.02,0.72,0,614.473558443631,105.980298814757,1679.47999687162,9.7894996660418,2000-06-03
23,110,30,3,77,0,0.272727272727273,0.0272727272727273,0.7,0,697.953948269987,83.8290465868772,1840.26475088353,10.6839009019683,2000-06-10
24,139,43,4,91,1,0.309352517985612,0.0287769784172662,0.654676258992806,0.00719424460431655,756.721435554017,70.3863475596332,1985.93541714531,13.5744132008539,2000-06-17
25,112,40,2,69,1,0.357142857142857,0.0178571428571429,0.616071428571429,0.00892857142857143,822.244757598315,79.0703875996886,2127.32695194627,11.6713924963866,2000-06-24
26,126,31,4,89,2,0.246031746031746,0.0317460317460317,0.706349206349206,0.0158730158730159,952.619901775092,90.4088737730056,2314.38183693102,10.7304911941415,2000-07-01
27,144,43,3,95,3,0.298611111111111,0.0208333333333333,0.659722222222222,0.0208333333333333,1054.73970262381,89.2840484807314,2387.71929259362,16.6324861326568,2000-07-08
28,139,46,7,85,1,0.330935251798561,0.0503597122302158,0.611510791366906,0.00719424460431655,1089.08966020091,86.7158638152351,2376.45733094915,28.6630670945496,2000-07-15
29,140,43,3,93,1,0.307142857142857,0.0214285714285714,0.664285714285714,0.00714285714285714,1079.36681552352,92.5697019055192,2415.30760998539,43.4577745707513,2000-07-22
30,150,37,6,103,4,0.246666666666667,0.04,0.686666666666667,0.0266666666666667,1111.34629391918,110.826637148066,2411.71258364513,48.8708532349156,2000-07-29
31,117,41,3,72,1,0.35042735042735,0.0256410256410256,0.615384615384615,0.00854700854700855,1124.73655453215,118.049434549743,2380.08649837242,46.5322490263479,2000-08-05
32,133,45,5,83,0,0.338345864661654,0.037593984962406,0.62406015037594,0,1087.34948246667,114.257169728509,2378.6129272386,48.9190659826255,2000-08-12
33,136,47,2,79,8,0.345588235294118,0.0147058823529412,0.580882352941177,0.0588235294117647,1023.47380137701,110.725003382619,2289.45252496986,48.0949548141494,2000-08-19
34,122,33,5,82,2,0.270491803278689,0.040983606557377,0.672131147540984,0.0163934426229508,982.633232201164,107.569157570267,2103.70422242755,41.2100352351513,2000-08-26
35,102,28,3,68,3,0.274509803921569,0.0294117647058824,0.666666666666667,0.0294117647058824,971.494896002365,96.0420802373693,1947.89610744476,49.7678436535597,2000-09-02
36,124,44,2,76,2,0.354838709677419,0.0161290322580645,0.612903225806452,0.0161290322580645,924.038091695723,85.0145541732418,1829.70190616752,68.8807108368721,2000-09-09
37,87,28,2,53,4,0.32183908045977,0.0229885057471264,0.609195402298851,0.0459770114942529,824.682640232589,78.6976037958541,1681.56531304833,71.3516890853903,2000-09-16
38,90,25,2,61,2,0.277777777777778,0.0222222222222222,0.677777777777778,0.0222222222222222,761.748870503045,63.4355935710463,1553.19674706642,63.9981448671297,2000-09-23
39,78,27,2,48,1,0.346153846153846,0.0256410256410256,0.615384615384615,0.0128205128205128,713.930466917902,52.8774746843854,1394.78752934362,58.5647720236695,2000-09-30
40,70,23,1,39,7,0.328571428571429,0.0142857142857143,0.557142857142857,0.1,617.964543822866,47.8835064299969,1245.93615899168,54.4427116137835,2000-10-07
41,64,19,2,42,1,0.296875,0.03125,0.65625,0.015625,532.01476301845,43.249443289617,1108.91905862053,46.9059679268007,2000-10-14
42,58,18,1,37,2,0.310344827586207,0.0172413793103448,0.637931034482759,0.0344827586206897,483.795130340127,34.087254503084,959.467831802283,49.0976100451916,2000-10-21
43,50,18,3,28,1,0.36,0.06,0.56,0.02,436.809376760041,30.0141144229623,843.855363361347,54.3133708269582,2000-10-28
44,51,20,1,27,3,0.392156862745098,0.0196078431372549,0.529411764705882,0.0588235294117647,394.979850880339,27.9760086643211,765.12113031365,46.6719569078708,2000-11-04
45,35,14,1,20,0,0.4,0.0285714285714286,0.571428571428571,0,354.339180430467,29.7504358830181,692.568341877097,36.9759676872253,2000-11-11
46,33,13,0,19,1,0.393939393939394,0,0.575757575757576,0.0303030303030303,332.297609241998,29.7736291497453,605.685021625781,32.4216452376008,2000-11-18
47,32,9,0,21,2,0.28125,0,0.65625,0.0625,316.628693664066,26.7844379804109,507.208545215775,31.8304187157715,2000-11-25
48,31,17,2,10,2,0.548387096774194,0.0645161290322581,0.32258064516129,0.0645161290322581,288.81789861452,20.1315222335756,433.448209975552,27.4587443493353,2000-12-02
49,17,10,0,6,1,0.588235294117647,0,0.352941176470588,0.0588235294117647,259.670488837698,13.0893655815674,394.325713387513,24.996674492136,2000-12-09
50,28,14,0,13,1,0.5,0,0.464285714285714,0.0357142857142857,243.63088515044,13.5416768463615,350.050124908263,28.7244622943383,2000-12-16
51,18,13,0,4,1,0.722222222222222,0,0.222222222222222,0.0555555555555556,251.227145730756,14.3860692459377,292.450970386775,29.9939920386789,2000-12-23
52,28,13,3,10,2,0.464285714285714,0.107142857142857,0.357142857142857,0.0714285714285714,256.302227060382,10.6814637880258,249.59429018932,26.0273910233324,2000-12-30
53,16,8,0,4,4,0.5,0,0.25,0.25,256.227768981094,7.85524737493034,222.634195705,22.5943793226598,2001-01-06
54,20,15,1,4,0,0.75,0.05,0.2,0,263.738488590988,14.5950345477202,196.159613529858,24.1603649340313,2001-01-13
55,22,12,2,7,1,0.545454545454545,0.0909090909090909,0.318181818181818,0.0454545454545455,269.976835543866,20.5113782882323,175.458661759885,38.8332408969696,2001-01-20
56,18,10,2,5,1,0.555555555555556,0.111111111111111,0.277777777777778,0.0555555555555556,273.997938414265,20.7984249444232,149.258794491797,46.3779791417223,2001-01-27
57,24,10,4,7,3,0.416666666666667,0.166666666666667,0.291666666666667,0.125,284.531909241463,27.0080175352328,145.365987964801,39.9529830142016,2001-02-03
