"week","weekly_total","weekly_inf1","weekly_inf2","weekly_inf3","weekly_inf4","weekly_p1","weekly_p2","weekly_p3","weekly_p4","weekly_y1","weekly_y2","weekly_y3","weekly_y4","date"
0,9,1,8,0,0,0.111111111111111,0.888888888888889,0,0,39.7034219868028,199.309897342489,0.147758583498857,2.69291526403287,2000-01-01
1,11,3,8,0,0,0.272727272727273,0.727272727272727,0,0,46.6789894580369,214.918200275856,0.088685559955195,1.71679723923315,2000-01-08
2,10,2,8,0,0,0.2,0.8,0,0,50.0024774403081,216.888470808072,0.0428314893013977,0.862453727538166,2000-01-15
3,14,4,10,0,0,0.285714285714286,0.714285714285714,0,0,48.6898551642819,214.260070080008,0.020606827907875,0.424667128902695,2000-01-22
4,14,4,10,0,0,0.285714285714286,0.714285714285714,0,0,53.4440413411595,207.39955955073,0.00989138802441159,0.206678614387791,2000-01-29
5,10,3,7,0,0,0.3,0.7,0,0,63.267999801653,214.490330299071,0.00474128741100852,0.0998943916589694,2000-02-05
6,10,3,7,0,0,0.3,0.7,0,0,79.45845811922,228.470072516539,0.00227073432494285,0.0480826364696249,2000-02-12
7,12,2,10,0,0,0.166666666666667,0.833333333333333,0,0,88.5746352358964,229.13890168105,0.00108695552884249,0.0230861089391965,2000-02-19
8,12,5,7,0,0,0.416666666666667,0.583333333333333,0,0,89.751320112587,223.300390301391,0.000520140279646793,0.0110676789298087,2000-02-26
9,10,2,8,0,0,0.2,0.8,0,0,86.4214961955024,239.375011721792,0.000248854755773599,0.00530107539228746,2000-03-04
10,11,2,9,0,0,0.181818181818182,0.818181818181818,0,0,82.6435597242822,249.691957405634,0.0001190476398155,0.00253763845476953,2000-03-11
11,9,2,7,0,0,0.222222222222222,0.777777777777778,0,0,92.6645304172024,253.397797440551,5.69462232961706e-05,0.00121436457392445,2000-03-18
12,13,3,10,0,0,0.230769230769231,0.769230769230769,0,0,91.8880442451858,252.881931071777,2.72389570630737e-05,0.000581004998538652,2000-03-25
